Source,Destination,Variable Transportation Cost
SP:0001:Own,CZ:0001,3.28000
SP:0001:Own,CZ:0002,3.28000
SP:0001:Own,CZ:0003,3.28000
SP:0001:Own,CZ:0004,3.28000
SP:0001:Own,CZ:0005,3.28000
SP:0001:Own,CZ:0006,3.28000
SP:0001:Own,CZ:0007,3.28000
SP:0001:Own,CZ:0008,3.28000
SP:0001:Own,CZ:0009,3.28000
SP:0001:Own,CZ:0010,3.28000
SP:0001:Own,CZ:0011,3.28000
SP:0001:Own,CZ:0012,3.28000
SP:0001:Own,CZ:0013,3.28000
SP:0001:Own,CZ:0014,3.28000
SP:0001:Own,CZ:0015,3.28000
SP:0001:Own,CZ:0016,3.28000
SP:0001:Own,CZ:0017,3.28000
SP:0001:Own,CZ:0018,3.28000
SP:0001:Own,CZ:0019,3.28000
SP:0001:Own,CZ:0020,3.28000
SP:0001:Own,CZ:0021,3.28000
SP:0001:Own,CZ:0022,3.28000
SP:0001:Own,CZ:0023,3.28000
SP:0001:Own,CZ:0024,3.28000
SP:0001:Own,CZ:0025,3.28000
SP:0001:Own,CZ:0026,3.28000
SP:0001:Own,CZ:0027,3.28000
SP:0001:Own,CZ:0028,3.28000
SP:0001:Own,CZ:0029,3.28000
SP:0001:Own,CZ:0030,3.28000
SP:0001:Own,CZ:0031,3.28000
SP:0001:Own,CZ:0032,3.28000
SP:0001:Own,CZ:0033,3.28000
SP:0001:Own,CZ:0034,3.28000
SP:0001:Own,CZ:0035,3.28000
SP:0001:Own,CZ:0036,3.28000
SP:0001:Own,CZ:0037,3.28000
SP:0001:Own,CZ:0038,3.28000
SP:0001:Own,CZ:0039,3.28000
SP:0001:Own,CZ:0040,3.28000
SP:0001:Own,CZ:0041,3.28000
SP:0001:Own,CZ:0042,3.28000
SP:0001:Own,CZ:0043,3.28000
SP:0001:Own,CZ:0044,3.28000
SP:0001:Own,CZ:0045,3.28000
SP:0001:Own,CZ:0046,3.28000
SP:0001:Own,CZ:0047,3.28000
SP:0001:Own,CZ:0048,3.28000
SP:0001:Own,CZ:0049,3.28000
SP:0001:Own,CZ:0050,3.28000
SP:0002:Own,CZ:0001,3.21000
SP:0002:Own,CZ:0002,3.21000
SP:0002:Own,CZ:0003,3.21000
SP:0002:Own,CZ:0004,3.21000
SP:0002:Own,CZ:0005,3.21000
SP:0002:Own,CZ:0006,3.21000
SP:0002:Own,CZ:0007,3.21000
SP:0002:Own,CZ:0008,3.21000
SP:0002:Own,CZ:0009,3.21000
SP:0002:Own,CZ:0010,3.21000
SP:0002:Own,CZ:0011,3.21000
SP:0002:Own,CZ:0012,3.21000
SP:0002:Own,CZ:0013,3.21000
SP:0002:Own,CZ:0014,3.21000
SP:0002:Own,CZ:0015,3.21000
SP:0002:Own,CZ:0016,3.21000
SP:0002:Own,CZ:0017,3.21000
SP:0002:Own,CZ:0018,3.21000
SP:0002:Own,CZ:0019,3.21000
SP:0002:Own,CZ:0020,3.21000
SP:0002:Own,CZ:0021,3.21000
SP:0002:Own,CZ:0022,3.21000
SP:0002:Own,CZ:0023,3.21000
SP:0002:Own,CZ:0024,3.21000
SP:0002:Own,CZ:0025,3.21000
SP:0002:Own,CZ:0026,3.21000
SP:0002:Own,CZ:0027,3.21000
SP:0002:Own,CZ:0028,3.21000
SP:0002:Own,CZ:0029,3.21000
SP:0002:Own,CZ:0030,3.21000
SP:0002:Own,CZ:0031,3.21000
SP:0002:Own,CZ:0032,3.21000
SP:0002:Own,CZ:0033,3.21000
SP:0002:Own,CZ:0034,3.21000
SP:0002:Own,CZ:0035,3.21000
SP:0002:Own,CZ:0036,3.21000
SP:0002:Own,CZ:0037,3.21000
SP:0002:Own,CZ:0038,3.21000
SP:0002:Own,CZ:0039,3.21000
SP:0002:Own,CZ:0040,3.21000
SP:0002:Own,CZ:0041,3.21000
SP:0002:Own,CZ:0042,3.21000
SP:0002:Own,CZ:0043,3.21000
SP:0002:Own,CZ:0044,3.21000
SP:0002:Own,CZ:0045,3.21000
SP:0002:Own,CZ:0046,3.21000
SP:0002:Own,CZ:0047,3.21000
SP:0002:Own,CZ:0048,3.21000
SP:0002:Own,CZ:0049,3.21000
SP:0002:Own,CZ:0050,3.21000
SP:0003:Own,CZ:0001,3.08000
SP:0003:Own,CZ:0002,3.08000
SP:0003:Own,CZ:0003,3.08000
SP:0003:Own,CZ:0004,3.08000
SP:0003:Own,CZ:0005,3.08000
SP:0003:Own,CZ:0006,3.08000
