SP:0001:Own --> CZ:0015   passed flow= 865.0
SP:0001:Own --> CZ:0016   passed flow= 2219.0
SP:0001:Own --> CZ:0017   passed flow= 2083.0
SP:0001:Own --> CZ:0018   passed flow= 685.0
SP:0001:Own --> CZ:0019   passed flow= 2730.0
SP:0001:Own --> CZ:0021   passed flow= 976.0
SP:0001:Own --> CZ:0022   passed flow= 2323.0
SP:0002:Own --> CZ:0006   passed flow= 573.0
SP:0002:Own --> CZ:0007   passed flow= 683.0
SP:0002:Own --> CZ:0008   passed flow= 1016.0
SP:0002:Own --> CZ:0009   passed flow= 2905.0
SP:0002:Own --> CZ:0010   passed flow= 2080.0
SP:0002:Own --> CZ:0011   passed flow= 777.0
SP:0002:Own --> CZ:0013   passed flow= 1113.0
SP:0002:Own --> CZ:0014   passed flow= 766.0
SP:0002:Own --> CZ:0015   passed flow= 554.0
SP:0003:Own --> CZ:0001   passed flow= 1693.0
SP:0003:Own --> CZ:0002   passed flow= 1559.0
SP:0003:Own --> CZ:0003   passed flow= 1712.0
SP:0003:Own --> CZ:0004   passed flow= 1309.0
SP:0003:Own --> CZ:0005   passed flow= 659.0
SP:0003:Own --> CZ:0006   passed flow= 330.0
SP:0004:Vne --> CZ:0022   passed flow= 59.0
SP:0004:Vne --> CZ:0023   passed flow= 2184.0
SP:0004:Vne --> CZ:0024   passed flow= 1951.0
SP:0004:Vne --> CZ:0025   passed flow= 1062.0
SP:0004:Vne --> CZ:0026   passed flow= 4418.0
SP:0005:Vne --> CZ:0030   passed flow= 1907.0
SP:0005:Vne --> CZ:0032   passed flow= 1714.0
SP:0005:Vne --> CZ:0033   passed flow= 1647.0
SP:0005:Vne --> CZ:0034   passed flow= 1333.0
SP:0005:Vne --> CZ:0035   passed flow= 2014.0
SP:0005:Vne --> CZ:0036   passed flow= 2139.0
SP:0006:Vne --> CZ:0036   passed flow= 32.0
SP:0006:Vne --> CZ:0037   passed flow= 1546.0
SP:0006:Vne --> CZ:0038   passed flow= 1787.0
SP:0006:Vne --> CZ:0039   passed flow= 2415.0
SP:0006:Vne --> CZ:0040   passed flow= 92.0
SP:0007:Vne --> CZ:0026   passed flow= 89.0
SP:0007:Vne --> CZ:0027   passed flow= 2797.0
SP:0007:Vne --> CZ:0028   passed flow= 200.0
SP:0008:Vne --> CZ:0040   passed flow= 590.0
SP:0008:Vne --> CZ:0041   passed flow= 779.0
SP:0008:Vne --> CZ:0042   passed flow= 802.0
SP:0008:Vne --> CZ:0043   passed flow= 1821.0
SP:0008:Vne --> CZ:0044   passed flow= 1697.0
SP:0009:Vne --> CZ:0044   passed flow= 795.0
SP:0009:Vne --> CZ:0045   passed flow= 2091.0
SP:0009:Vne --> CZ:0046   passed flow= 2944.0
SP:0009:Vne --> CZ:0047   passed flow= 2091.0
SP:0009:Vne --> CZ:0048   passed flow= 1403.0
SP:0009:Vne --> CZ:0050   passed flow= 1054.0
SP:0010:Vne --> CZ:0028   passed flow= 4305.0
SP:0010:Vne --> CZ:0029   passed flow= 2542.0
SP:0010:Vne --> CZ:0030   passed flow= 1089.0
